id,Province name,development,culture,religion,Trade Goods
628,Surabaya,13,javanese,hinduism,cotton
629,Demak,13,javanese,hinduism,cotton
630,Kalapa,10,sundanese,hinduism,spices
631,Bali,9,nusa_tenggara,hinduism,cloth
632,Sumbawa,8,nusa_tenggara,animism,unknown
633,Flores,11,nusa_tenggara,animism,unknown
634,Sumba,5,nusa_tenggara,animism,unknown
635,West Timor,9,nusa_tenggara,animism,unknown
636,Brunei,13,bornean,sunni,spices
637,Api-Api,9,bornean,sunni,spices
638,Kutai,13,bornean,hinduism,fish
639,Banjar,11,bornean,hinduism,unknown
640,Pontianak,9,bornean,hinduism,unknown
641,Makassar,14,sulawesi,animism,spices
642,Kendari,9,sulawesi,animism,spices
643,Poso,10,sulawesi,animism,unknown
644,Manado,10,sulawesi,animism,unknown
645,Buru,5,moluccan,animism,unknown
646,Ambon,12,moluccan,animism,unknown
647,Ceram,7,moluccan,animism,unknown
648,Halmahera,5,moluccan,animism,unknown
649,Ternate,13,moluccan,animism,cloves
650,Tidore,13,moluccan,animism,cloves
651,Sulu,11,filipino,sunni,unknown
652,Maguindanao,13,filipino,animism,spices
653,Lanao,8,filipino,animism,spices
654,Samar,5,filipino,animism,unknown
655,Palawan,8,filipino,sunni,sugar
656,Manila,12,filipino,animism,chinaware
657,Ilocos,6,filipino,animism,unknown
658,Cagayan,6,filipino,animism,unknown
659,Lingga,3,sumatran,sunni,fish
660,Sibsongbanna,8,shan,buddhism,tea
661,Dali,9,bai,buddhism,tea
662,Yunnan,14,bai,buddhism,copper
663,Guangnan,3,bai,buddhism,copper
664,Lingyun,3,zhuang,confucianism,tea
665,Shiuhing,11,cantonese,confucianism,chinaware
666,Kiungchow,3,chimin,confucianism,tropical_wood
667,Canton,27,cantonese,confucianism,incense
668,Macau,7,cantonese,confucianism,fish
669,Fuzhou,19,chimin,confucianism,tea
670,Ganzhou,10,hakka,confucianism,grain
671,Changsha,16,xiang,confucianism,grain
672,Wulin,8,xiang,confucianism,cotton
673,Zhenyuan,3,miao,animism,tea
674,Guiyang,8,yi,animism,iron
675,Umung,5,yi,animism,copper
676,Shigatse,6,tibetan,vajrayana,incense
677,Lhasa,7,tibetan,vajrayana,cloth
678,Tachienlu,6,tibetan,vajrayana,tea
679,Chengdu,21,sichuanese,confucianism,silk
680,Chongqing,20,sichuanese,confucianism,spices
681,Yichang,8,sichuanese,confucianism,tea
682,Wuchang,19,hubei,confucianism,salt
683,Nanchang,15,gan,confucianism,paper
684,Hangzhou,27,wu,confucianism,silk
685,Yangzhou,26,jianghuai,confucianism,salt
686,Anqing,14,jianghuai,confucianism,cloth
687,Nanyang,10,zhongyuan,confucianism,gems
688,Kaifeng,20,zhongyuan,confucianism,chinaware
689,Hanzhong,11,xibei,confucianism,iron
690,Qingzhou,12,shandong_culture,confucianism,iron
691,Jinan,13,shandong_culture,confucianism,cloth
692,Huaiqing,8,jin,confucianism,grain
693,Taiyuan,15,jin,confucianism,iron
694,Pingyang,7,jin,confucianism,iron
695,Hejian,8,chihan,confucianism,salt
696,Baoding,8,chihan,confucianism,chinaware
697,Datong,11,jin,confucianism,iron
698,Ningxia,7,mongol,confucianism,salt
699,Lanzhou,15,xibei,confucianism,grain
700,Xi'an,17,xibei,confucianism,grain
701,Ordos,5,mongol,vajrayana,livestock
702,Hohhot,12,mongol,vajrayana,iron
703,Chengde,7,chahar,vajrayana,livestock
704,Ningyuan,6,chihan,confucianism,grain
705,Gyegu,4,tibetan,vajrayana,wool
706,Tsaidam,3,oirats,vajrayana,salt
707,Yumen,5,oirats,vajrayana,livestock
708,Gansu,7,xibei,confucianism,livestock
709,Alxa,4,mongol,vajrayana,gems
710,Hotan,7,uyghur,sunni,gems
711,Qarqan,4,uyghur,vajrayana,livestock
712,Aksu,6,uyghur,sunni,cotton
713,Bechbaliq,6,uyghur,tengri_pagan_reformed,salt
714,Hoboksar,4,oirats,tengri_pagan_reformed,livestock
715,Urumqi,7,uyghur,tengri_pagan_reformed,grain
716,Tannu Uriankhai,3,buryat,tengri_pagan_reformed,fur
717,Kherlen,3,khalkha,tengri_pagan_reformed,livestock
718,Kobdo,6,oirats,tengri_pagan_reformed,cloth
719,Uliastai,9,khalkha,tengri_pagan_reformed,wool
720,Dorno Govi,4,khalkha,tengri_pagan_reformed,livestock
721,Setsen,5,khalkha,tengri_pagan_reformed,livestock
722,Jirem,5,chahar,vajrayana,livestock
723,Xilin Gol,6,mongol,vajrayana,livestock
724,Hulunbuir,3,buryat,tengri_pagan_reformed,livestock
725,Cicigar,10,chahar,tengri_pagan_reformed,naval_supplies
726,Shenyang,12,manchu,confucianism,gems
727,Aigun,9,manchu,tengri_pagan_reformed,fur
728,Tuwan,5,manchu,tengri_pagan_reformed,livestock
729,Bohori,6,manchu,tengri_pagan_reformed,fish
730,Girin,15,manchu,confucianism,grain
731,Ilan Hala,8,manchu,tengri_pagan_reformed,naval_supplies
732,South Hamgyeong,4,korean,confucianism,fish
733,Hwangju,6,korean,confucianism,fish
734,West Gangwon,4,korean,confucianism,chinaware
735,Hanseong,25,korean,confucianism,paper
736,Sangju,9,korean,confucianism,cotton
737,Jeonju,10,korean,confucianism,chinaware
738,Sakam,10,polynesian,animism,unknown
739,Kashgar,6,uyghur,sunni,wool
740,Chanderi,6,malvi,hinduism,cloth
741,Cumana,4,carib,animism,unknown
742,Guayana,4,carib,animism,unknown
743,Essequibo,3,guajiro,animism,sugar
744,Demerara,3,guajiro,animism,unknown
745,Suriname,3,guajiro,animism,unknown
746,Cayenne,3,guajiro,animism,unknown
747,Tucujulandia,4,guajiro,animism,unknown
748,Grao Para,4,tupinamba,animism,cocoa
749,Maranhao,7,ge,animism,unknown
750,Alpercatas,4,ge,animism,unknown
751,Ceara,6,tupinamba,animism,sugar
752,Oeiras,4,ge,animism,unknown
753,Rio Grande,7,tupinamba,animism,unknown
754,Itamaraca,7,tupinamba,animism,unknown
755,Pernambuco,10,tupinamba,animism,unknown
756,Bahia,10,tupinamba,animism,unknown
757,Ilheus,7,tupinamba,animism,cocoa
758,Goias,4,ge,animism,unknown
759,Diamentina,6,ge,animism,unknown
760,Porto Seguro,7,ge,animism,unknown
761,Espirito Santo,6,ge,animism,cocoa
762,Sao Tome,6,tupinamba,animism,unknown
763,Rio de Janeiro,10,tupinamba,animism,unknown
764,Santo Amaro,4,tupinamba,animism,unknown
765,Minas Gerais,6,ge,animism,unknown
766,Sao Vicente,6,tupinamba,animism,unknown
767,Ortelsburg,6,prussian,catholic,naval_supplies
768,Guayra,3,guarani,animism,unknown
769,Curitiba,6,guarani,animism,unknown
770,Braslaw,8,lithuanian,catholic,livestock
771,Vitebsk,5,byelorussian,orthodox,grain
772,Paysandu,4,charruan,animism,unknown
773,Banda Oriente,3,charruan,animism,unknown
774,Al Junaynahr,3,tunjur,shamanism,unknown
775,Xeres,3,guarani,animism,unknown
776,Itenines,3,guarani,animism,unknown
777,Parana,4,guarani,animism,unknown
778,Rio de la Plata,7,charruan,animism,grain
779,Serranos,3,het,animism,unknown
780,Tehuelmapu,3,patagonian,animism,unknown
781,Patagonia Oriental,3,patagonian,animism,unknown
782,Tierra del Fuego,3,patagonian,animism,unknown
783,Patagonia Occidental,3,patagonian,animism,unknown
784,Huillimapu,3,mapuche,animism,fish
785,Pehuenmapu,3,mapuche,animism,unknown
786,Salinas Grande,3,het,animism,unknown
787,Pincunmapu,4,mapuche,animism,unknown
788,Angoche,7,swahili,sunni,ivory
789,Mtetwa,3,nguni,shamanism,unknown
790,Chaco Austral,3,chacoan,animism,unknown
791,Catamarca,5,diaguita,animism,unknown
792,Copiapo,4,mapuche,animism,unknown
793,Atacama,4,diaguita,animism,unknown
794,Jujuy,7,diaguita,inti,wool
795,Potosi,10,aimara,inti,gold
796,Arica,5,aimara,inti,unknown
797,Caracara,6,aimara,inti,copper
798,Nsoyo,5,mbundu,shamanism,grain
799,Chaco Boreal,3,chacoan,animism,unknown
800,Chiquitos,3,maipurean,animism,unknown
801,Caranga,4,guarani,animism,unknown
802,Chuquiabo,9,aimara,inti,cloth
803,Moxos,3,guarani,animism,unknown
804,Puno,6,aimara,inti,gold
805,Arequipa,5,aimara,inti,grain
806,Nazca,3,inca,inti,fish
807,Huamanga,8,inca,inti,grain
808,Cuzco,14,inca,inti,gold
809,Lima,6,inca,inti,cloth
810,Huancavelica,5,inca,inti,gold
811,Tarma,6,inca,inti,wool
812,Chanchan,10,chimuan,inti,cocoa
813,Cajamarca,8,inca,inti,cocoa
814,Huanuco,5,inca,inti,grain
815,Maynas,3,jivaro,animism,unknown
816,Tumbes,5,chimuan,inti,grain
817,Cuenca,8,cara,inti,wool
818,Canelos,4,jivaro,animism,unknown
819,Guayaquil,6,cara,inti,fish
820,Quito,14,cara,inti,cloth
821,Quijos,3,jivaro,animism,unknown
822,Caqueta,3,jivaro,animism,unknown
823,Cauca,5,guajiro,animism,unknown
824,Mariquita,5,guajiro,animism,unknown
825,Bogota,14,muisca,inti,gems
826,Choco,3,guajiro,animism,unknown
827,Antioquia,7,muisca,animism,unknown
828,Cartagena,8,guajiro,animism,unknown
829,Magdalena,3,muisca,animism,coffee
830,Maracaibo,4,guajiro,animism,unknown
831,Caracas,4,carib,animism,unknown
832,Chiancon,12,muisca,inti,salt
833,GraaffReinet,5,nguni,shamanism,unknown
834,Barinas,3,guajiro,animism,unknown
835,Panama,3,muisca,animism,unknown
836,Chorotega,3,muisca,animism,unknown
837,Nicaragua,3,miskito,animism,unknown
838,Mosquito,3,miskito,animism,coffee
839,Pipil,3,highland_mayan,mesoamerican_religion,cocoa
840,Honduras,3,miskito,animism,unknown
841,Guatemala,7,highland_mayan,mesoamerican_religion,cocoa
842,Peten,5,putun,mesoamerican_religion,cocoa
843,Belize,9,yucatec,mesoamerican_religion,sugar
844,Zapotec,5,zapotek,nahuatl,sugar
845,Campeche,9,yucatec,mesoamerican_religion,sugar
846,Yucatan,9,yucatec,mesoamerican_religion,fish
847,Mixtec,7,mixtec,nahuatl,grain
848,Tohancapan,5,totonac,nahuatl,spices
849,Tlapanec,9,tlapanec,nahuatl,gold
850,Tlaxcala,9,aztek,nahuatl,sugar
851,Tarasco,7,tlapanec,nahuatl,fish
852,Mexico,16,aztek,nahuatl,gold
853,Huastec,7,aztek,nahuatl,cotton
854,Sayultecas,11,tepic,nahuatl,grain
855,Huichol,4,tepic,nahuatl,unknown
856,Zacatecas,3,chichimecan,animism,gold
857,Guachichil,3,chichimecan,animism,gold
858,Tamaulipas,3,wastek,mesoamerican_religion,sugar
859,Sinaloa,3,piman,totemism,unknown
860,Tepehuan,3,chichimecan,animism,unknown
861,Coahuila,3,chichimecan,animism,unknown
862,Yaqui,3,piman,totemism,unknown
863,Suma,3,mescalero,totemism,unknown
864,Concho,3,mescalero,totemism,unknown
865,Cochimi,3,piman,animism,unknown
866,Guaycura,3,piman,animism,unknown
867,Mojave,3,piman,totemism,unknown
868,Chumash,5,piman,totemism,unknown
869,Salinan,4,piman,totemism,unknown
870,Yorkuts,3,yokuts,totemism,unknown
871,Pomo,3,chinook,totemism,unknown
872,Kalapuya,5,chinook,totemism,unknown
873,Chinook,5,chinook,totemism,fur
874,Salish,5,salish,totemism,fur
875,Canyon,3,navajo,totemism,salt
876,Yavapai,3,piman,totemism,unknown
877,Pima,3,piman,totemism,salt
878,Navajo,4,navajo,totemism,salt
879,Apache,3,apache,totemism,salt
880,Pueblo,5,pueblo,totemism,salt
881,Piro,5,mescalero,totemism,grain
882,Mescalero,3,mescalero,totemism,wool
883,Lipan,3,lipan,totemism,grain
884,Karankawa,3,caddo,totemism,unknown
885,Comanche,3,mescalero,totemism,unknown
886,Waco,3,wichita,totemism,grain
887,Tonkawa,3,caddo,totemism,unknown
888,Atakapa,3,caddo,totemism,unknown
889,Arapaho,3,wichita,totemism,unknown
890,Kiowa,3,pawnee,totemism,unknown
891,Jicarilla,3,pawnee,totemism,unknown
892,Wichita,3,wichita,totemism,unknown
893,Chitimacha,10,natchez,totemism,unknown
894,Caddo,3,caddo,totemism,cotton
895,Arkansas,5,yoron,totemism,unknown
896,Ozark,3,wichita,totemism,unknown
897,Quapaw,3,yoron,totemism,unknown
898,Kansas,3,pawnee,totemism,unknown
899,Osage,3,yoron,totemism,grain
900,Tamaroa,5,illini,totemism,unknown
901,Pawnee,4,pawnee,totemism,grain
902,Missouri,3,pawnee,totemism,unknown
903,Omaha,3,pawnee,totemism,unknown
904,Nakota,3,chiwere,totemism,unknown
905,Iowa,3,chiwere,totemism,unknown
906,Lakota,3,dakota,totemism,unknown
907,Dakota,3,dakota,totemism,unknown
908,Minnesota,3,dakota,totemism,fur
909,Mandan,3,arapaho,totemism,unknown
910,Chippewa,3,anishinabe,totemism,unknown
911,Menominee,4,anishinabe,totemism,unknown
912,Sauk,3,chiwere,totemism,unknown
913,Fox,6,chiwere,totemism,fur
914,Winnebago,6,chiwere,totemism,unknown
915,Illinois,3,illini,totemism,grain
916,Kaskaskia,5,illini,totemism,fur
917,Cahokia,6,illini,totemism,grain
918,Tennessee,5,chickasaw,totemism,unknown
919,Chickasaw,5,chickasaw,totemism,grain
920,Choctaw,5,choctaw,totemism,cotton
921,Bayougoula,5,natchez,totemism,unknown
922,Mobile,5,choctaw,totemism,unknown
923,Pensacola,3,choctaw,totemism,unknown
924,Alabama,4,choctaw,totemism,unknown
925,Tuskegee,6,creek,totemism,cotton
926,Seminole,3,yamasee,totemism,unknown
927,Timucua,3,yamasee,totemism,unknown
928,Apalachee,4,creek,totemism,unknown
929,Muskogee,6,yamasee,totemism,unknown
930,Yamasee,5,creek,totemism,cotton
931,Chiaha,5,creek,totemism,fur
932,Santee,6,catawba,totemism,unknown
933,Catawba,5,catawba,totemism,tobacco
934,Shawnee,3,yuchi,totemism,grain
935,Cherokee,5,yuchi,totemism,naval_supplies
936,Cheraw,5,catawba,totemism,tobacco
937,Tuscarora,5,iroquois,totemism,tobacco
938,Pamlico,5,powhatan,totemism,unknown
939,Pennyrile,5,shawnee,totemism,unknown
940,Kentucky,5,shawnee,totemism,unknown
941,Cumberland,3,yuchi,totemism,fur
942,Wea,3,miami,totemism,unknown
943,Miami,3,miami,totemism,fur
944,Potawatomi,6,mesquakie,totemism,fur
945,Michigan,4,anishinabe,totemism,fur
946,Wyandot,3,miami,totemism,unknown
947,Erie,7,tionontate,totemism,unknown
948,Ohio,3,shawnee,totemism,unknown
949,Monacan,3,yuchi,totemism,unknown
950,Powhatan,10,powhatan,totemism,unknown
951,Kanawha,3,shawnee,totemism,unknown
952,Powhatan,5,powhatan,totemism,tobacco
953,Conoy,6,powhatan,totemism,unknown
954,Allegheny,5,tionontate,totemism,fur
955,Susquehanna,6,susquehannock,totemism,unknown
956,Lenape,5,delaware,totemism,fur
957,Delaware,10,delaware,totemism,unknown
958,Seneca,4,iroquois,totemism,fur
959,Cayuga,5,iroquois,totemism,fur
960,Onondaga,8,iroquois,totemism,fur
961,Oneida,5,iroquois,totemism,fur
962,Unami,5,delaware,totemism,unknown
963,Mahican,5,mahican,totemism,unknown
964,Mohawk,6,iroquois,totemism,fur
965,Manhattan,5,delaware,totemism,unknown
966,Nipmuc,5,massachusset,totemism,unknown
967,Narraganset,6,pequot,totemism,unknown
968,Massachusetts,10,massachusset,totemism,unknown
969,Pocumtuk,7,mahican,totemism,naval_supplies
970,Pennacook,5,massachusset,totemism,unknown
971,Abnaki,5,abenaki,totemism,naval_supplies
972,Nootka,3,aleutian,totemism,unknown
973,Squamish,5,salish,totemism,unknown
974,Kwakiutl,3,aleutian,totemism,unknown
975,Tsimshian,3,chinook,totemism,unknown
976,Tlingit,3,haida,totemism,unknown
977,Yakutat,3,aleutian,totemism,unknown
978,Alaska,3,aleutian,totemism,unknown
979,Aleut,3,aleutian,totemism,unknown
980,Beothuk,4,innu,totemism,unknown
981,Taqamkuk,4,innu,totemism,unknown
982,Unamakik,3,mikmaq,totemism,unknown
983,Epekwitk,3,mikmaq,totemism,unknown
984,Acadia,5,mikmaq,totemism,unknown
985,Micmac,5,mikmaq,totemism,unknown
986,Kespek,3,mikmaq,totemism,unknown
987,Niagara,6,tionontate,totemism,fur
988,Huron,8,huron,totemism,fur
989,Ontario,6,huron,totemism,grain
990,Kwedech,6,laurentian,totemism,unknown
991,Ottawa,5,algonquin,totemism,unknown
992,Algonquin,6,algonquin,totemism,fur
993,Hochelega,5,laurentian,totemism,fur
994,Stadacona,10,laurentian,totemism,fish
995,Atiamekw,5,innu,totemism,unknown
996,Innu,3,innu,totemism,unknown
997,Labrador,3,innu,totemism,unknown
998,Ungava,4,inuit,totemism,unknown
999,Nunavik,4,cree,totemism,unknown
1000,Cree,4,cree,totemism,unknown
1001,Sault,5,anishinabe,totemism,unknown
1002,Abitbi,3,algonquin,totemism,unknown
1003,Moose Cree,4,cree,totemism,unknown
1004,Attawapiskat,4,cree,totemism,unknown
1005,Swampy Cree,4,cree,totemism,unknown
1006,Chipewyan,4,inuit,totemism,unknown
1007,Ojibwa,3,anishinabe,totemism,unknown
1008,Winnipeg,3,bungi,totemism,unknown
1009,Atikaki,3,bungi,totemism,unknown
1010,Manitoba,3,chipewyan,totemism,unknown
1011,Woods Cree,3,plains_cree,totemism,unknown
1012,Satsuma,9,kyushuan,shinto,iron
1013,Cheongju,8,korean,confucianism,grain
1014,Bungo,9,kyushuan,shinto,tropical_wood
1015,Okinawa,5,kyushuan,animism,chinaware
1016,Ha Tinh,11,vietnamese,mahayana,fish
1017,Suo,9,japanese,shinto,silk
1018,Izumo,8,japanese,shinto,iron
1019,Harima,8,japanese,shinto,grain
1020,Yamashiro,13,japanese,shinto,silk
1021,Settsu,15,japanese,shinto,chinaware
1022,Indrapura,10,cham,hinduism,incense
1023,Echizen,9,japanese,shinto,paper
1024,Echigo,11,togoku,shinto,grain
1025,Dewa,7,togoku,shinto,grain
1026,Rikuzen,9,togoku,shinto,grain
1027,Hitachi,6,togoku,shinto,fish
1028,Musashi,15,togoku,shinto,fish
1029,Kai,9,togoku,shinto,livestock
1030,Owari,10,togoku,shinto,dyes
1031,Kamikawa,3,ainu,animism,fish
1032,Kurils,3,ainu,animism,fish
1033,Sakhalin,3,ainu,animism,fish
1034,Kamchatka,3,kamchatkan,tengri_pagan_reformed,fish
1035,Penchisky,3,kamchatkan,tengri_pagan_reformed,fish
1036,Podzhiversk,3,yukagyr,tengri_pagan_reformed,unknown
1037,Nizhe-Kolymsk,3,yukagyr,tengri_pagan_reformed,unknown
1038,Anadyrsk,3,yukagyr,tengri_pagan_reformed,fur
1039,Verkhoyansk,3,yukagyr,tengri_pagan_reformed,unknown
1040,Suntar Khayat,3,yukagyr,tengri_pagan_reformed,unknown
1041,Gizhiga,3,kamchatkan,tengri_pagan_reformed,unknown
1042,Kamnuskoye,3,yakut,tengri_pagan_reformed,unknown
1043,Okhotsk,3,yakut,tengri_pagan_reformed,unknown
1044,Tauisk,3,kamchatkan,tengri_pagan_reformed,unknown
1045,Yakutsk,3,yakut,tengri_pagan_reformed,unknown
1046,Butalsk,3,yakut,tengri_pagan_reformed,unknown
1047,Jugjur,3,yakut,tengri_pagan_reformed,unknown
1048,Udskoye,6,nivkh,tengri_pagan_reformed,fur
1049,Hailanboo,6,evenk,tengri_pagan_reformed,fur
1050,Deren,11,nivkh,tengri_pagan_reformed,fur
1051,Uchurskoye,3,yakut,tengri_pagan_reformed,unknown
1052,Verkohzehkoye,4,yakut,tengri_pagan_reformed,unknown
1053,Hinggan,7,evenk,tengri_pagan_reformed,fur
1054,Ilimsk,3,tungus,tengri_pagan_reformed,unknown
1055,Verkne-Angarsky,6,buryat,tengri_pagan_reformed,unknown
1056,Barguzinsky,9,buryat,tengri_pagan_reformed,unknown
1057,Udinsky,8,buryat,tengri_pagan_reformed,unknown
1058,Nerchinsky,3,buryat,tengri_pagan_reformed,fur
1059,Bratsk,3,tungus,tengri_pagan_reformed,unknown
1060,Irkutsk,3,buryat,tengri_pagan_reformed,unknown
1061,Yeniseysk,3,tungus,tengri_pagan_reformed,unknown
1062,Kachinsk,3,buryat,tengri_pagan_reformed,unknown
1063,Sayan,3,buryat,tengri_pagan_reformed,unknown
1064,Tomsk,3,ostyaki,tengri_pagan_reformed,unknown
1065,Kuznetsk,3,kirgiz,tengri_pagan_reformed,unknown
1066,Altai,3,buryat,tengri_pagan_reformed,fur
1067,Narym,3,samoyed,tengri_pagan_reformed,unknown
1068,Pegaya Orda,3,ostyaki,tengri_pagan_reformed,unknown
1069,Surgut,3,samoyed,tengri_pagan_reformed,unknown
1070,Koda,3,samoyed,tengri_pagan_reformed,unknown
1071,Tara,6,siberian,sunni,fur
1072,Obdorsk,3,samoyed,tengri_pagan_reformed,unknown
1073,Berezov,3,samoyed,tengri_pagan_reformed,unknown
1074,Sibir,6,ostyaki,sunni,fur
1075,Tyumen,12,siberian,sunni,fur
1076,Kurgan,9,siberian,sunni,fur
1077,Solikamsk,9,uralic,tengri_pagan_reformed,salt
1078,Middle Urals,3,uralic,tengri_pagan_reformed,unknown
1079,Viatka,10,russian,orthodox,copper
1080,North Urals,3,uralic,tengri_pagan_reformed,unknown
1081,Simbirsk,3,kazani,sunni,iron
1082,Kazan,15,kazani,sunni,grain
1083,Zavolochye,8,russian,orthodox,grain
1084,Wadjuk,9,nyoongah,dreamtime,livestock
1085,Paredarerme,6,palawa,dreamtime,fish
1086,Kaurna,7,yura,dreamtime,fish
1087,Wurundjeri,11,kulin,dreamtime,livestock
1088,Wergaia,3,kulin,dreamtime,unknown
1089,Wiradjuri,8,gamilaraay,dreamtime,unknown
1090,Eora,11,aboriginal,dreamtime,fish
1091,Kamilaroi,3,gamilaraay,dreamtime,unknown
1092,Bundjalung,8,aboriginal,dreamtime,unknown
1093,Barunggam,3,gamilaraay,dreamtime,unknown
1094,Turrbal,5,gamilaraay,dreamtime,naval_supplies
1095,Falklands,3,cosmopolitan_french,catholic,unknown
1096,Cape Verde,3,portugese,catholic,unknown
1097,Fernando Po,5,yorumba,shamanism,unknown
1098,St. Helena,3,dutch,reformed,unknown
1099,Socotra,4,mahri_culture,coptic,fish
1100,Mahe,5,cosmopolitan_french,catholic,unknown
1101,Diego Garcia,3,cosmopolitan_french,catholic,unknown
1102,Mauritius,11,dutch,reformed,unknown
1103,Bourbon,11,cosmopolitan_french,catholic,unknown
1104,Eiriksfjord,3,inuit,totemism,unknown
1105,Vestbygden,3,inuit,totemism,unknown
1106,Te Tai Tokerau,10,maori,animism,tropical_wood
1107,Taranaki,10,maori,animism,salt
1108,Te Moana a Toi,10,maori,animism,fish
1109,Timaru,3,maori,animism,naval_supplies
1110,Rio de Oro,8,berber,sunni,sugar
1111,Arguin,3,berber,sunni,unknown
1112,Trarza,3,senegambian,sunni,salt
1113,Cayor,8,senegambian,shamanism,slaves
1114,Gabu,8,senegambian,shamanism,ivory
1115,Brakna,3,fulani,shamanism,unknown
1116,Wolof,8,senegambian,shamanism,slaves
1117,Futa Jallon,9,fulani,shamanism,ivory
1118,Sierra Leone,3,dyola,shamanism,unknown
1119,Grain Coast,3,dyola,shamanism,unknown
1120,Bambuk,14,soninke,shamanism,gold
1121,Bure,14,mali,shamanism,gold
1122,Bagoe,3,dyola,shamanism,dyes
1123,Segu,12,bambara,shamanism,grain
1124,Wasuju,16,mali,sunni,grain
1125,Kong,6,dyola,shamanism,ivory
1126,Ivory Coast,3,aka,shamanism,unknown
1127,Tuat,3,tuareg,sunni,unknown
1128,Taodeni,3,tuareg,sunni,salt
1129,Azawadd,3,tuareg,sunni,salt
1130,Tadmekka,3,tuareg,sunni,wool
1131,Massina,9,bambara,shamanism,grain
1132,Timbuktu,18,tuareg,sunni,cloth
1133,Gao,16,songhai,sunni,cloth
1134,Jenne,17,bozo,shamanism,cloth
1135,Yatenga,8,mossi,shamanism,livestock
1136,Gurma,3,mossi,shamanism,ivory
1137,Wagadugi,9,mossi,shamanism,grain
1138,Kumasi,9,aka,shamanism,gold
1139,Gold Coast,5,aka,shamanism,unknown
1140,Abomey,3,fon,shamanism,slaves
1141,Whydah,3,fon,shamanism,unknown
1142,Dendi,7,songhai,sunni,grain
1143,Borgu,3,dagomba,shamanism,grain
1144,Oyo,7,yorumba,shamanism,grain
1145,Nupe,6,nupe,shamanism,coffee
1146,Ife,8,yorumba,shamanism,glass
1147,Benin,11,yorumba,shamanism,ivory
1148,Gobir,9,hausa,sunni,iron
1149,Katsina,15,hausa,sunni,cloth
1150,Zamfara,7,hausa,shamanism,grain
1151,Bonny,4,sawabantu,shamanism,slaves
1152,Idah,3,nupe,shamanism,ivory
1153,Pindinga,3,nupe,shamanism,livestock
1154,Zazzau,9,hausa,shamanism,slaves
1155,Kano,15,hausa,sunni,dyes
1156,Damagaram,3,tuareg,sunni,livestock
1157,Borno,9,kanuri,sunni,grain
1158,Kanem,8,kanuri,sunni,paper
1159,Bagirmi,7,bilala,shamanism,ivory
1160,Mandara,3,kanuri,shamanism,tropical_wood
1161,Bauchi,3,jukun,shamanism,unknown
1162,Wukari,3,jukun,shamanism,unknown
1163,Calabar,3,sawabantu,shamanism,slaves
1164,Cameroon,3,sawabantu,shamanism,unknown
1165,Gabon,5,kongolese,shamanism,unknown
1166,Loango,9,kongolese,shamanism,gems
1167,Luanda,5,mbundu,shamanism,unknown
1168,Kisarna,5,kongolese,shamanism,slaves
1169,Mayombe,6,kongolese,shamanism,copper
1170,Kongo,15,kongolese,shamanism,iron
1171,Ndongo,7,mbundu,shamanism,slaves
1172,Benguela,10,mbundu,shamanism,unknown
1173,Damaraland,0,,,
1174,Walvis Bay,3,khoisan,shamanism,unknown
1175,Lesser Namaqualand,3,khoisan,shamanism,unknown
1176,Roggeveld,3,khoisan,shamanism,unknown
1177,Cape,15,khoisan,shamanism,unknown
1178,Great Karoo,7,khoisan,shamanism,unknown
1179,Little Karoo,6,khoisan,shamanism,unknown
1180,Transkei,3,nguni,shamanism,unknown
1181,Natal,5,nguni,shamanism,unknown
1182,Delagoa Bay,9,nguni,shamanism,unknown
1183,Inhambane,9,nguni,shamanism,unknown
1184,Zimbabwe,14,shona,shamanism,gold
1185,Buha,7,shona,shamanism,gold
1186,Sofala,9,nguni,sunni,gold
1187,Sena,6,shona,shamanism,ivory
1188,Masapa,5,shona,shamanism,gold
1189,Shangwe,5,shona,shamanism,livestock
1190,Zumbo,5,shona,shamanism,ivory
1191,Tete,5,shona,shamanism,ivory
1192,Quelimane,7,nyasa,sunni,ivory
1193,Menabe,9,madagasque,shamanism,slaves
1194,Boina,5,madagasque,shamanism,fish
1195,Mozambique,6,swahili,sunni,ivory
1196,Kilwa,10,swahili,sunni,gold
1197,Mzizima,3,swahili,shamanism,gems
1198,Lindi,5,swahili,sunni,fish
1199,Bagamoyo,3,swahili,shamanism,ivory
1200,Tanga,6,swahili,shamanism,ivory
1201,Zanzibar,5,swahili,ibadi,slaves
1202,Mombasa,12,swahili,sunni,ivory
1203,Malindi,10,swahili,sunni,iron
1204,Lamu,7,swahili,sunni,ivory
1205,Mogadishu,10,somali,sunni,ivory
1206,Qardho,3,somali,sunni,incense
1207,Ogaden,3,somali,sunni,incense
1208,Degehabur,3,somali,sunni,livestock
1209,Berbera,10,somali,sunni,slaves
1210,Dawaro,3,harari,sunni,grain
1211,Harer,16,harari,sunni,coffee
1212,Zeila,13,somali,sunni,incense
1213,Shoa,9,amhara,sunni,grain
1214,Awsa,6,amhara,coptic,grain
1215,Tajura,6,afar,sunni,livestock
1216,Dar Nuba,3,nubian,shamanism,unknown
1217,Fazughli,4,nubian,shamanism,unknown
1218,Kefa,6,sidamo,shamanism,coffee
1219,Kordofan,3,tunjur,shamanism,unknown
1220,Dar Jaal,4,nubian,sunni,livestock
1221,Taqali,3,nubian,shamanism,unknown
1222,Gezira,4,nubian,coptic,grain
